time,data
769,0.642171
770,0.64379
771,0.645411
772,0.647035
773,0.648662
774,0.650292
775,0.651925
776,0.65356
777,0.655199
778,0.656841
779,0.658486
780,0.660133
781,0.661784
782,0.663437
783,0.665094
784,0.666753
785,0.668415
786,0.670081
787,0.671749
788,0.67342
789,0.675094
790,0.676771
791,0.678451
792,0.680134
793,0.68182
794,0.683509
795,0.6852
796,0.686895
797,0.688593
798,0.690293
799,0.691997
800,0.693703
801,0.695413
802,0.697118
803,0.698825
804,0.700536
805,0.70225
806,0.703966
807,0.705686
808,0.707409
809,0.709134
810,0.710862
811,0.712594
812,0.714328
813,0.716065
814,0.717805
815,0.719548
816,0.721295
817,0.723044
818,0.724795
819,0.72655
820,0.728308
821,0.730069
822,0.731833
823,0.733589
824,0.735348
825,0.73711
826,0.738875
827,0.740643
828,0.742414
829,0.744187
830,0.745964
831,0.747744
832,0.749526
833,0.751312
834,0.7531
835,0.754892
836,0.756686
837,0.758484
838,0.760284
839,0.762087
840,0.763894
841,0.765703
842,0.767515
843,0.76933
844,0.771148
845,0.772969
846,0.774793
847,0.77662
848,0.77845
849,0.780283
850,0.782119
851,0.783958
852,0.7858
853,0.787645
854,0.789493
855,0.791344
856,0.793198
857,0.795055
858,0.796915
859,0.798778
860,0.800644
861,0.802513
862,0.804385
863,0.80626
864,0.808138
865,0.810019
866,0.811904
867,0.813791
868,0.815681
869,0.817574
870,0.819471
871,0.82137
872,0.823272
873,0.825178
874,0.827086
875,0.828998
876,0.830913
877,0.83283
878,0.834751
879,0.836675
880,0.838602
881,0.840532
882,0.842465
883,0.844402
884,0.846341
885,0.848283
886,0.850229
887,0.852178
888,0.854129
889,0.856084
890,0.858042
891,0.860003
892,0.861968
893,0.863935
894,0.865906
895,0.867879
896,0.869856
897,0.871836
898,0.87382
899,0.875806
900,0.877795
901,0.879788
902,0.881784
903,0.883783
904,0.885785
905,0.887791
906,0.8898
907,0.891811
908,0.893825
909,0.895843
910,0.897863
911,0.899887
912,0.901915
913,0.903945
914,0.905979
915,0.908016
916,0.910056
917,0.9121
918,0.914146
919,0.916196
920,0.91825
921,0.920306
922,0.922366
923,0.924429
924,0.926496
925,0.928566
926,0.930639
927,0.932715
928,0.934795
929,0.936878
930,0.938965
931,0.941055
932,0.943148
933,0.945244
934,0.947344
935,0.949448
936,0.951555
937,0.953665
938,0.955778
939,0.957892
940,0.96001
941,0.962131
942,0.964256
943,0.966384
944,0.968515
945,0.97065
946,0.972789
947,0.974931
948,0.977076
949,0.979225
950,0.981377
951,0.983533
952,0.985692
953,0.987855
954,0.990022
955,0.992192
956,0.994365
957,0.996542
958,0.998723
959,1.00091
960,1.00309
961,1.00529
962,1.00748
963,1.00968
964,1.01188
965,1.01409
966,1.0163
967,1.01851
968,1.02073
969,1.02295
970,1.02517
971,1.0274
972,1.02963
973,1.03187
974,1.03411
975,1.03635
976,1.0386
977,1.04085
978,1.0431
979,1.04536
980,1.04762
981,1.04989
982,1.05216
983,1.05443
984,1.05671
985,1.05899
986,1.06128
987,1.06356
988,1.06586
989,1.06815
990,1.07046
991,1.07276
992,1.07507
993,1.07738
994,1.0797
995,1.08202
996,1.08434
997,1.08667
998,1.08901
999,1.09135
1000,1.09369
1001,1.09604
1002,1.09839
1003,1.10074
1004,1.1031
1005,1.10546
1006,1.10783
1007,1.1102
1008,1.11258
1009,1.11496
1010,1.11734
1011,1.11973
1012,1.12212
1013,1.12452
1014,1.12692
1015,1.12933
1016,1.13174
1017,1.13416
1018,1.13658
1019,1.139
1020,1.14143
1021,1.14386
1022,1.1463
1023,1.14874
1024,1.15119
1025,1.15364
1026,1.1561
1027,1.15856
1028,1.16103
1029,1.1635
1030,1.16597
1031,1.16845
1032,1.17094
1033,1.17343
1034,1.17592
1035,1.17842
1036,1.18093
1037,1.18344
1038,1.18595
1039,1.18847
1040,1.191
1041,1.19353
1042,1.19606
1043,1.1986
1044,1.20115
1045,1.2037
1046,1.20625
1047,1.20881
1048,1.21138
1049,1.21395
1050,1.21653
1051,1.21911
1052,1.2217
1053,1.2243
1054,1.22689
1055,1.2295
1056,1.23211
1057,1.23473
1058,1.23735
1059,1.23998
1060,1.24261
1061,1.24525
1062,1.2479
1063,1.25055
1064,1.2532
1065,1.25587
1066,1.25854
1067,1.26121
1068,1.2639
1069,1.26658
1070,1.26928
1071,1.27198
1072,1.27469
1073,1.2774
1074,1.28012
1075,1.28285
1076,1.28558
1077,1.28832
1078,1.29107
1079,1.29382
1080,1.29658
1081,1.29935
1082,1.30213
1083,1.30491
1084,1.3077
1085,1.3105
1086,1.3133
1087,1.31611
1088,1.31893
1089,1.32176
1090,1.32459
1091,1.32743
1092,1.33028
1093,1.33314
1094,1.336
1095,1.33888
1096,1.34176
1097,1.34465
1098,1.34755
1099,1.35045
1100,1.35337
1101,1.35629
1102,1.35922
1103,1.36216
1104,1.36511
1105,1.36807
1106,1.37103
1107,1.37401
1108,1.377
1109,1.37999
1110,1.38299
1111,1.38601
1112,1.38903
1113,1.39206
1114,1.3951
1115,1.39815
1116,1.40121
1117,1.40428
1118,1.40736
1119,1.41045
1120,1.41355
1121,1.41666
1122,1.41977
1123,1.4229
1124,1.42604
1125,1.42918
1126,1.43234
1127,1.4355
1128,1.43868
1129,1.44186
1130,1.44505
1131,1.44825
1132,1.45145
1133,1.45467
1134,1.45788
1135,1.46111
1136,1.46433
1137,1.46756
1138,1.47079
1139,1.47403
1140,1.47726
1141,1.48048
1142,1.4837
1143,1.48691
1144,1.4901
1145,1.49327
1146,1.49642
1147,1.49955
1148,1.50263
1149,1.50566
1150,1.50864
1151,1.51155
1152,1.51437
1153,1.51708
1154,1.51966
1155,1.5221
1156,1.52443
1157,1.52667
1158,1.52883
1159,1.53093
1160,1.53298
1161,1.53499
1162,1.53697
1163,1.53892
1164,1.54086
1165,1.54278
1166,1.54468
1167,1.54658
1168,1.54848
1169,1.55037
1170,1.55226
1171,1.55416
1172,1.55605
1173,1.55795
1174,1.55986
1175,1.56177
1176,1.56369
1177,1.56561
1178,1.56755
1179,1.56949
1180,1.57144
1181,1.5734
1182,1.57537
1183,1.57735
1184,1.57934
1185,1.58134
1186,1.58335
1187,1.58537
1188,1.5874
1189,1.58944
1190,1.59149
1191,1.59355
1192,1.59562
1193,1.5977
1194,1.59979
1195,1.60189
1196,1.604
1197,1.60612
1198,1.60826
1199,1.6104
1200,1.61255
1201,1.61471
1202,1.61689
1203,1.61907
1204,1.62126
1205,1.62346
1206,1.62567
1207,1.6279
1208,1.63013
1209,1.63237
1210,1.63462
1211,1.63687
1212,1.63914
1213,1.64142
1214,1.64371
1215,1.646
1216,1.64831
1217,1.65062
1218,1.65295
1219,1.65528
1220,1.65762
1221,1.65997
1222,1.66233
1223,1.66469
1224,1.66707
1225,1.66946
1226,1.67185
1227,1.67425
1228,1.67666
1229,1.67908
1230,1.68151
1231,1.68394
1232,1.68639
1233,1.68884
1234,1.6913
1235,1.69377
1236,1.69625
1237,1.69873
1238,1.70123
1239,1.70373
1240,1.70624
1241,1.70876
1242,1.71129
1243,1.71382
1244,1.71637
1245,1.71892
1246,1.72148
1247,1.72404
1248,1.72662
1249,1.7292
1250,1.73179
1251,1.73439
1252,1.737
1253,1.73962
1254,1.74224
1255,1.74487
1256,1.74751
1257,1.75016
1258,1.75282
1259,1.75548
1260,1.75815
1261,1.76083
1262,1.76352
1263,1.76622
1264,1.76892
1265,1.77164
1266,1.77436
1267,1.77709
1268,1.77982
1269,1.78257
1270,1.78532
1271,1.78808
1272,1.79086
1273,1.79364
1274,1.79642
1275,1.79922
1276,1.80203
1277,1.80484
1278,1.80766
1279,1.81049
1280,1.81333
1281,1.81618
1282,1.81903
1283,1.8219
1284,1.82477
1285,1.82765
1286,1.83055
1287,1.83345
1288,1.83635
1289,1.83927
1290,1.8422
1291,1.84513
1292,1.84808
1293,1.85103
1294,1.85399
1295,1.85697
1296,1.85995
1297,1.86294
1298,1.86594
1299,1.86895
1300,1.87197
1301,1.87499
1302,1.87803
1303,1.88108
1304,1.88414
1305,1.88721
1306,1.89028
1307,1.89337
1308,1.89647
1309,1.89958
1310,1.9027
1311,1.90583
1312,1.90896
1313,1.91211
1314,1.91527
1315,1.91844
1316,1.92163
1317,1.92482
1318,1.92802
1319,1.93123
1320,1.93446
1321,1.93769
1322,1.94094
1323,1.9442
1324,1.94746
1325,1.95074
1326,1.95403
1327,1.95733
1328,1.96065
1329,1.96397
1330,1.9673
1331,1.97064
1332,1.974
1333,1.97736
1334,1.98073
1335,1.98411
1336,1.9875
1337,1.9909
1338,1.99431
1339,1.99772
1340,2.00114
1341,2.00456
1342,2.00799
1343,2.01142
1344,2.01485
1345,2.01827
1346,2.02169
1347,2.02511
1348,2.02851
1349,2.03189
1350,2.03526
1351,2.0386
1352,2.0419
1353,2.04516
1354,2.04837
1355,2.05151
1356,2.05457
1357,2.05753
1358,2.06037
1359,2.06308
1360,2.06566
1361,2.06813
1362,2.07051
1363,2.07282
1364,2.07506
1365,2.07726
1366,2.07942
1367,2.08155
1368,2.08365
1369,2.08574
1370,2.08781
1371,2.08987
1372,2.09193
1373,2.09399
1374,2.09604
1375,2.09809
1376,2.10015
1377,2.10221
1378,2.10427
1379,2.10634
1380,2.10842
1381,2.1105
1382,2.1126
1383,2.1147
1384,2.11681
1385,2.11893
1386,2.12106
1387,2.1232
1388,2.12535
1389,2.12751
1390,2.12969
1391,2.13187
1392,2.13406
1393,2.13626
1394,2.13848
1395,2.1407
1396,2.14294
1397,2.14518
1398,2.14744
1399,2.14971
1400,2.15198
1401,2.15427
1402,2.15657
1403,2.15888
1404,2.1612
1405,2.16352
1406,2.16586
1407,2.16821
1408,2.17057
1409,2.17294
1410,2.17532
1411,2.1777
1412,2.1801
1413,2.18251
1414,2.18492
1415,2.18735
1416,2.18978
1417,2.19222
1418,2.19468
1419,2.19714
1420,2.19961
1421,2.20209
1422,2.20457
1423,2.20707
1424,2.20957
1425,2.21209
1426,2.21461
1427,2.21714
1428,2.21968
1429,2.22222
1430,2.22478
1431,2.22734
1432,2.22991
1433,2.23249
1434,2.23508
1435,2.23767
1436,2.24027
1437,2.24288
1438,2.2455
1439,2.24812
1440,2.25076
1441,2.2534
1442,2.25604
1443,2.2587
1444,2.26136
1445,2.26403
1446,2.26671
1447,2.26939
1448,2.27208
1449,2.27478
1450,2.27749
1451,2.2802
1452,2.28291
1453,2.28564
1454,2.28837
1455,2.29111
1456,2.29385
1457,2.2966
1458,2.29936
1459,2.30213
1460,2.3049
1461,2.30768
1462,2.31046
1463,2.31325
1464,2.31605
1465,2.31886
1466,2.32167
1467,2.32449
1468,2.32731
1469,2.33014
1470,2.33298
1471,2.33582
1472,2.33867
1473,2.34153
1474,2.34439
1475,2.34726
1476,2.35013
1477,2.35301
1478,2.3559
1479,2.35879
1480,2.36169
1481,2.3646
1482,2.36751
1483,2.37043
1484,2.37335
1485,2.37628
1486,2.37922
1487,2.38216
1488,2.3851
1489,2.38806
1490,2.39101
1491,2.39398
1492,2.39695
1493,2.39993
1494,2.40291
1495,2.4059
1496,2.40889
1497,2.41189
1498,2.41489
1499,2.41791
1500,2.42092
1501,2.42395
1502,2.42698
1503,2.43001
1504,2.43305
1505,2.4361
1506,2.43915
1507,2.44221
1508,2.44527
1509,2.44834
1510,2.45141
1511,2.45449
1512,2.45758
1513,2.46067
1514,2.46377
1515,2.46687
1516,2.46998
1517,2.4731
1518,2.47622
1519,2.47934
1520,2.48248
1521,2.48561
1522,2.48876
1523,2.49191
1524,2.49506
1525,2.49822
1526,2.50139
1527,2.50456
1528,2.50774
1529,2.51092
1530,2.51411
1531,2.5173
1532,2.5205
1533,2.52371
1534,2.52692
1535,2.53014
1536,2.53336
1537,2.53659
1538,2.53982
1539,2.54306
1540,2.54631
1541,2.54956
1542,2.55282
1543,2.55608
1544,2.55935
1545,2.56262
1546,2.5659
1547,2.56919
1548,2.57253
1549,2.57587
1550,2.57922
1551,2.58258
1552,2.58594
1553,2.58931
1554,2.59269
1555,2.59607
1556,2.59946
1557,2.60285
1558,2.60625
1559,2.60966
1560,2.61307
1561,2.61649
1562,2.61991
1563,2.62334
1564,2.62678
1565,2.63022
1566,2.63366
1567,2.63711
1568,2.64057
1569,2.64404
1570,2.64751
1571,2.65099
1572,2.65447
1573,2.65796
1574,2.66145
1575,2.66496
1576,2.66846
1577,2.67198
1578,2.6755
1579,2.67903
1580,2.68256
1581,2.6861
1582,2.68965
1583,2.6932
1584,2.69676
1585,2.70032
1586,2.70389
1587,2.70747
1588,2.71106
1589,2.71465
1590,2.71825
1591,2.72185
1592,2.72546
1593,2.72908
1594,2.7327
1595,2.73633
1596,2.73997
1597,2.74361
1598,2.74727
1599,2.75092
1600,2.75459
1601,2.75826
1602,2.76194
1603,2.76562
1604,2.76931
1605,2.77301
1606,2.77672
1607,2.78043
1608,2.78415
1609,2.78787
1610,2.79161
1611,2.79535
1612,2.79909
1613,2.80285
1614,2.80661
1615,2.81038
1616,2.81416
1617,2.81794
1618,2.82173
1619,2.82553
1620,2.82933
1621,2.83315
1622,2.83697
1623,2.8408
1624,2.84463
1625,2.84847
1626,2.85232
1627,2.85618
1628,2.86005
1629,2.86392
1630,2.8678
1631,2.87169
1632,2.87559
1633,2.87949
1634,2.88341
1635,2.88733
1636,2.89126
1637,2.8952
1638,2.89914
1639,2.9031
1640,2.90706
1641,2.91103
1642,2.91501
1643,2.91899
1644,2.92299
1645,2.92699
1646,2.93101
1647,2.93503
1648,2.93906
1649,2.9431
1650,2.94715
1651,2.95121
1652,2.95527
1653,2.95935
1654,2.96343
1655,2.96753
1656,2.97163
1657,2.97574
1658,2.97987
1659,2.984
1660,2.98814
1661,2.99229
1662,2.99645
1663,3.00062
1664,3.0048
1665,3.009
1666,3.0132
1667,3.01741
1668,3.02163
1669,3.02586
1670,3.03011
1671,3.03436
1672,3.03862
1673,3.0429
1674,3.04718
1675,3.05148
1676,3.05579
1677,3.06011
